50,209,426,55.798,190.475,66.59,143,741,3758,161.354,677.108,587.101
31,130,245,69.97,222.357,74.836,75,425,2108,172.338,728.757,643.569
10,47,92,38.763,143.575,52.244,32,160,679,122.597,482.821,386.748
29,121,237,58.283,191.311,64.132,81,405,1955,163.528,638.877,528.317
6,25,45,81.705,240.881,73.67,15,71,355,187.655,675.925,580.875
10,43,76,65.324,205.634,69.78,27,142,604,180.779,677.898,556.16
13,43,109,63.25,175.809,68.017,32,147,904,149.985,600.754,561.583
7,30,57,62.736,221.715,65.893,20,99,570,180.397,737.446,656.746
38,136,301,51.605,159.365,53.132,131,561,3295,179.893,658.523,582.009
11,41,76,65.394,180.143,63.228,29,134,548,167.997,592.614,457.197
74,342,663,46.523,157.062,53.474,300,1417,7177,190.026,650.329,578.877
31,140,302,42.194,153.77,53.24,103,486,2521,141.319,535.358,445.044
4,20,29,79.162,226.675,74.801,11,67,243,212.102,753.957,623.889
55,233,484,56.584,189.95,66.099,175,811,3883,180.476,661.159,530.75
14,66,123,46.617,159.616,55.641,43,227,971,144.946,553.553,440.948
16,61,134,53.22,157.523,55.007,52,237,1457,175.421,610.971,598.119
50,234,422,49.104,176.506,52.116,174,847,4532,171.174,639.052,559.561
5,24,48,54.753,187.727,69.757,18,95,450,216.156,751.338,659.035
18,76,179,50.189,165.344,64.766,53,267,1370,145.298,583.308,496.456
5,21,36,69.027,227.206,74.122,12,66,292,187.071,721.211,602.754
27,112,238,55.037,180.016,60.784,67,323,1654,135.564,520.139,421.836
105,398,856,50.082,147.32,61.278,311,1565,7079,147.784,579.668,506.78
11,47,74,43.256,127.475,52.929,24,131,463,98.515,353.614,330.841
3,15,27,59.708,213.532,64.2,11,49,262,213.506,712.18,631.237
30,142,288,48.824,177.788,59.649,98,520,2686,159.327,651.29,555.789
30,116,260,56.829,172.867,63.044,96,434,2379,179.041,645.1,576.374
6,30,60,45.712,166.562,48.721,21,100,449,151.423,547.924,367.768
30,144,260,64.407,232.38,72.9,92,449,2322,195.825,724.08,651.813
