49,39,7,56.716,65.055,1.835,73,201,296,74.304,159.989,40.702,135,343,483,137.605,273.071,66.46
15,12,2,57.587,53.46,1.809,21,57,71,71.047,136.224,32.913,43,97,118,146.559,231.14,54.492
18,11,3,74.217,67.461,2.683,28,83,142,93.038,209.227,61.115,55,139,219,184.7,350.17,93.934
55,42,8,61.002,65.775,1.695,71,238,326,68.805,180.233,40.446,146,409,586,141.056,309.331,72.674
5,4,1,76.276,76.913,2.132,10,33,38,108.239,264.648,55.065,17,53,63,195.088,420.945,91.024
19,15,3,60.715,62.276,1.618,23,67,99,64.288,144.414,37.36,47,112,168,131.214,240.738,63.592
4,3,1,58.986,64.959,1.754,5,13,14,67.938,133.98,30.561,9,22,24,134.877,228.55,51.718
25,18,4,60.162,59.734,1.897,29,96,164,59.808,149.332,43.099,65,166,274,135.782,258.69,72.213
88,75,16,49.183,51.063,1.673,118,334,381,57.64,127.259,28.75,250,585,700,121.975,222.714,52.771
10,10,2,42.905,43.279,2.418,13,35,42,56.855,99.034,32.414,25,70,67,110.602,196.437,51.31
3,2,0,73.243,95.701,2.318,6,19,24,105.406,266.726,58.381,9,29,40,172.443,405.531,95.99
29,25,5,50.9,66.451,1.749,33,112,152,53.064,144.694,32.462,76,218,260,122.08,281.911,55.621
25,22,4,53.018,68.825,2.104,36,125,202,68.282,181.058,51.166,69,207,314,131.582,298.666,79.429
6,6,1,54.913,70.138,1.644,10,34,47,69.97,174.32,38.781,19,58,73,136.441,299.102,59.798
27,23,4,67.99,77.176,2.137,38,105,135,81.269,164.515,38.456,75,191,238,158.504,299.139,67.956
3,2,0,69.326,72.072,2.133,3,9,12,68.798,153.272,36.485,6,16,22,150.35,263.127,67.515
17,15,3,48.558,49.161,1.364,24,62,94,61.922,122.741,32.476,42,108,152,110.363,214.238,52.344
3,2,0,58.982,72.673,2.712,5,15,27,81.717,195.438,70.095,10,25,40,155.946,333.756,104.967
27,18,4,65.501,54.769,1.768,37,94,123,70.266,142.046,33.3,74,159,206,141.61,241.088,55.599
12,9,2,63.36,55.974,1.465,18,45,69,76.082,145.323,39.432,33,80,119,142.412,260.099,67.566
155,114,20,54.006,52.719,1.595,217,695,1054,65.814,170.162,47.801,436,1161,1736,132.474,284.125,78.748
22,14,3,69.351,69.468,2.218,30,109,160,76.013,211.807,54.475,62,184,247,159.648,358.6,83.887
17,12,2,68.15,84.005,1.917,25,81,116,83.256,232.076,50.964,49,131,211,164.326,374.523,92.66
4,3,1,62.834,76.15,1.783,5,17,20,71.832,179.073,36.99,9,28,36,133.126,301.41,66.993
2,3,0,61.151,87.446,2.825,2,14,24,67.504,196.141,64.096,5,26,41,133.269,370.049,110.363
